"Lon";"Lat"
7420438,12312343;5549706,36394502
7425902,57461239;5548241,8352463
7421662,91378595;5550695,48457195
7423739,93408868;5547579,33010631
7424012,1605684;5547528,34959371
7428543,02793853;5549913,01492976
7424321,4939701;5547984,29995411
7425731,5703149;5549732,49999381
7423779,10483197;5547683,72990069
7422483,40431142;5547124,4684956
7424380,05456971;5546520,40550787
7421815,89416519;5547863,37053115
7423625,53602199;5547193,20173755
7429816,15218238;5551786,13140271
7424391,87323677;5548195,28048871
7422237,93679608;5549028,26153009
7424328,74173783;5548417,13845695
7424010,62445004;5546178,45981395
7425482,43972656;5539277,7445573
7423299,9630786;5548472,67348685
7424330,49344257;5546997,49655303
7429681,98506966;5551120,52440081
7424321,49468604;5547984,29994398
7424129,10430365;5546690,41642137
7423639,76419421;5547283,50201992
7424131,30799625;5546844,33764287
7427266,43116619;5548508,67172456
7423885,67201055;5547557,66078397
7423134,19579389;5546672,90809824
7421080,62372082;5550478,97545918
7428373,25180478;5548077,13551562
7420203,62501145;5541785,54172305
7424618,28979677;5547793,68141394
7423739,93408868;5547579,33010631
7431244,62084702;5549461,80330084
7427423,5701436;5548289,43150558
7423816,26425609;5547827,7236519
7431025,42364897;5549201,41022814
7430064,6524703;5551147,90328781
7423886,43993698;5547498,32625072
7428966,92495316;5542145,16084148
7430794,58101224;5549461,93066502
7423457,75205173;5547865,03992722
7432893,89337487;5551426,90410544
7424961,07570298;5548245,83320167
7424623,1249406;5544222,86080252
7424391,42625449;5546479,1871356
7424501,32990451;5552434,09003867
7426692,73509925;5547304,04598417
7424775,32871329;5543858,21949799
7424784,95949549;5548623,51328169
7425317,56224101;5547073,52360501
7425910,62736653;5547081,46783249
7428132,48173485;5544737,00509364
7425023,63550463;5547279,72735528
7425439,35284167;5548394,44290906
7426339,07099961;5542063,98266286
7422278,77286989;5548488,14494582
7424496,48635217;5546918,75970045
7424299,74449053;5546752,16564707
7424541,72032981;5546802,44503391
7423528,05839181;5550816,58573913
7424074,87984391;5546942,41562942
7423925,93548627;5547549,63498691
7431012,02480764;5548912,10594173
7424024,52930992;5547889,71532873
7424077,24765721;5546850,99121136
7423505,86615027;5544655,81984355
7423850,30087399;5547731,03127241
7418899,42796639;5548369,34015867
7423957,18509944;5547523,32948192
7422703,1047629;5546893,715017
7428311,31817402;5542469,54750912
7432615,2138959;5551211,31474045
7430965,76744364;5549215,01356444
7424371,10643974;5546555,15106868
7424359,34513205;5547438,78577571
7424093,42426678;5546829,5592733
7423806,1722706;5546912,80043121
7424012,54773318;5547015,76699806
7425598,62674272;5549303,60143936
7423758,29386294;5547589,93778342
7423925,93548627;5547549,63498691
7423912,26870519;5547939,56046921
7429819,81669076;5550422,32265973
7423994,48739723;5547523,09977835
7425693,2396185;5546512,49841576
7423974,04981663;5550294,81861983
7423946,27891489;5547128,82461631
7430894,26935728;5549493,32519196
7423592,9922257;5547898,65367884
7425946,53632537;5546405,87403871
7438757,05822488;5547783,38474846
7424395,06074244;5546524,62197645
7422581,98895429;5548833,96510847
7422447,10374698;5550470,42694128
7423568,9150304;5546202,00024763
7423958,44202146;5547426,7913486
7427917,50469317;5544843,0459172
7424647,82041035;5546577,17795699
7423935,45012725;5547596,77815256
7424159,8729137;5544885,51715357
7425754,45600059;5545399,99371803
7425264,93535188;5545999,47030276
7427860,78490403;5544806,9453534
7422408,18210256;5544403,51469615
7424318,28103198;5547984,96724434
7423952,98480694;5547389,39969058
7424217,9751352;5545019,30961579
7423462,00214548;5548184,29560266
7424432,60469045;5546623,24916215
7423986,07855994;5550252,14227267
7430064,65175479;5551147,90329717
7422972,12078581;5546009,51527006
7423490,33227157;5547129,44329871
7423974,28167921;5547896,33608122
7430794,58101224;5549461,93066502
7420983,57940283;5543283,36340894
7423235,99009168;5547940,09823388
7423568,04900571;5548192,033405
7424097,34111502;5547752,66099338
7421169,24819872;5550470,06869402
7423943,15070126;5550151,15624343
7423188,02015943;5546711,3744369
7425132,32021477;5548003,84759041
7422972,12078581;5546009,51527006
7423763,42538133;5548325,83473745
7424321,49468604;5547984,29994398
7429891,55146934;5551731,09618369
7424784,95949549;5548623,51328169
7422775,44534378;5549516,5246333
7425138,81423251;5546095,56080017
7442836,15978372;5546901,62637942
7423812,28380995;5550846,53523204
7423625,53673804;5547193,20172733
7425518,6982846;5550441,31314146
7422007,1078619;5548970,50005646
7424835,73961918;5548455,90969013
7424097,34111502;5547752,66099338
7423806,1722706;5546912,80043121
7424432,0233518;5547866,82359964
7422876,01323218;5547345,94992389
7423373,37597768;5546068,22015833
7424178,94862039;5547512,76570335
7424067,63999822;5547878,37406144
7421487,62868998;5551088,06655237
7423885,67201055;5547557,66078397
7424622,85068772;5546600,17810359
7423806,1722706;5546912,80043121
7431587,54996908;5548332,64441151
7429318,44572726;5552323,9531819
7422929,80661355;5545480,68521884
7422773,40933323;5548782,13883612
7423118,81545097;5546723,61577582
7424775,32871329;5543858,21949799
